文件名,下载地址
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第六讲：第三章 固定资产（三）_高清,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-04-09/CBCD0D67F94D55ED3F35109F9F77F2A8-20.m3u8?t=1756307587&key=0F287D9CC7AAC02180EF88130580CBC5&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第六讲：第三章 固定资产（三）_清晰,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-04-09/CBCD0D67F94D55ED3F35109F9F77F2A8-10.m3u8?t=1756307587&key=E19791475BF0A93C768FEDFA659BF5BE&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第四十八讲：第六章 长期股权投资（一）_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-25/2FD34CF674FA3A6D63835A29B2A11961-10.m3u8?t=1756307587&key=716686F17A6E4CF5BE0A6C434800735D&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第二十九讲：第十章 股份支付（二）_高清,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-05-28/C016D2B3E91CCD347E6C9CEE8B422289-20.m3u8?t=1756307587&key=B3D9A9A4DA09AA7C11F25DBD50F4B159&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第二十九讲：第十章 股份支付（二）_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-05-28/C016D2B3E91CCD347E6C9CEE8B422289-10.m3u8?t=1756307587&key=7A927067D34E7F73ECD3242890F21CC3&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第七十讲：第十七章 所得税（五）_高清,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-07-27/97AD1AECDD1A0E60B463AB73BD4C026B-20.m3u8?t=1756307588&key=7681850E59C797EEEF76D910338B1D23&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第七十讲：第十七章 所得税（五）_清晰,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-07-27/97AD1AECDD1A0E60B463AB73BD4C026B-10.m3u8?t=1756307588&key=1D252E1AC8A0F54D29AA48949971D004&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十二讲：第四章 物权法律制度（五）_高清,http://cd15-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-06/131D5F858385725113358DE27D943A99-20.m3u8?t=1756307588&key=AA074995037687B8AFC2A884F92BED96&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十二讲：第四章 物权法律制度（五）_清晰,http://cd15-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-06/131D5F858385725113358DE27D943A99-10.m3u8?t=1756307588&key=0429F0EE8C8BD0294AA84392EA8FF047&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第五十讲：第五章 合同法律制度（十）_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-07-05/E11E9E4CE928C3DB753C612EB38A8D5A-10.m3u8?t=1756307588&key=EA8BCB6D65587ECD379D70F24CFE772F&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第八十二讲：第二十一章 企业合并与合并_高清,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-08-09/1FC8DDA63E2320EDB463AB73BD4C026B-20.m3u8?t=1756307588&key=6209822B0B8F1CC43FCB3496CE3113B4&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第八十二讲：第二十一章 企业合并与合并_清晰,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-08-09/1FC8DDA63E2320EDB463AB73BD4C026B-10.m3u8?t=1756307588&key=EA0C89C303A80BAD555696812884F7BB&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十一讲：第四章 物权法律制度（四）_高清,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-06/6FD5873BFD5BB011753C612EB38A8D5A-20.m3u8?t=1756307588&key=2067D25FA498561C72F4E77F2C4E272F&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十一讲：第四章 物权法律制度（四）_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-06/6FD5873BFD5BB011753C612EB38A8D5A-10.m3u8?t=1756307588&key=5C0C442FD72F31E5AC11A4CFC5E38097&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第八讲：第一章 第二节 经济纠纷的解决_高清,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-04-11/DD2A35C30D04CD09FC9558351D509E7C-20.m3u8?t=1756307588&key=D7C9D17C3EF951188D98042456CF694B&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第八讲：第一章 第二节 经济纠纷的解决_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-04-11/DD2A35C30D04CD09FC9558351D509E7C-10.m3u8?t=1756307588&key=8BE9797A7D96065290194065BAF04290&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十五讲：第四章 物权法律制度（八）_高清,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-13/FC9CE20A4CE94261F3342D97BB1D6DF8-20.m3u8?t=1756307588&key=9F07BF11D78EBB112BB4D7D63CDA9C2B&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十五讲：第四章 物权法律制度（八）_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-13/FC9CE20A4CE94261F3342D97BB1D6DF8-10.m3u8?t=1756307588&key=87251FC7D8214718C2FBA256C4A39BD5&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第二十二讲：第八章 金融资产和金融负债_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-05-14/523D69F8C00E8B727E6C9CEE8B422289-10.m3u8?t=1756307589&key=A65F08C8AFFDC6D41DE533FA945542D7&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三讲：第一章 第一节法律行为与代理（_高清,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-03-28/872246C85B3E1B3A2BBA984E86119800-20.m3u8?t=1756307589&key=B6803B6CC7B3F7E97068FB9FE2800E14&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三讲：第一章 第一节法律行为与代理（_清晰,http://cd12-ccd1-3.play.bokecc.com/flvs/606E693D99DE632E/2025-03-28/872246C85B3E1B3A2BBA984E86119800-10.m3u8?t=1756307589&key=3AEEE7D141D6C14451CCB9D8D4683DF3&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《会计实务》（一阶段）（刘小英）——————第三十一讲：第十章 股份支付（四）_清晰,http://cd12-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-04/B2EF74E0C3E798D37E6C9CEE8B422289-10.m3u8?t=1756307589&key=FA66BB941703D45D2E0AD4B6A81A58E3&tpl=10&tpt=112
《中级职称》2025直播高频考点精讲《经济法》（一阶段） （王雅萱）——————第三十八讲：第四章 物权法律制度（十一_高清,http://cd15-ccd1-1.play.bokecc.com/flvs/606E693D99DE632E/2025-06-14/17C123D1255AD8DB63835A29B2A11961-20.m3u8?t=1756307589&key=99EEBB64774C43AC123118BA3AE73081&tpl=10&tpt=112
